"Table 3","Validation: stability data for Mangiferin (MNG) in brain homogenate and plasma","",""
"Exposure condition","LQC (29.0 ng/mL or ng  g−1)","","MQC (450.0 ng/mL or ng  g−1)
HQC (810.0 ng/mL or ng  g−1)"
"","Brain Homogenate","Plasma","Brain Homogenate
Plasma
Brain Homogenate
Plasma"
"","Long term stability; recovery (ng) after storage (−80 °C)","",""
"Previous day","28.72 ± 0.98","28.82 ± 0.91","448.10 ± 11.36
446.09 ± 11.24
804.01 ± 18.64
806.94 ± 19.76"
"30th Day","27.69 ± 0.88 (96.41%)","28.56 ± 0.88 (99.10%)","439.01 ± 10.66 (97.97%) 430.19 ± 9.61 (96.44%)
781.32 ± 19.53 (97.18%) 773.08 ± 18.20 (95.80%)"
"","Freeze–thaw stress; recovery (ng) after freeze–thaw cycles (−80 °C to 25 °C)","",""
"Pre-cycle","28.81 ± 0.90","28.75 ± 0.93","446.11 ± 11.06
445.69 ± 10.28
805.06 ± 19.69
804.63 ± 19.25"
"First cycle","28.77 ± 0.89 (99.86%)","28.67 ± 0.89 (99.72%)","433.62 ± 10.21 (97.20%) 431.61 ± 9.38 (96.84%)
789.94 ± 18.36 (98.12%) 791.21 ± 18.28 (98.33%)"
"Second cycle","27.81 ± 0.81 (96.53%)","27.56 ± 0.82 (95.86%)","428.31 ± 10.97 (96.01)
420.14 ± 11.05 (94.27%) 776.53 ± 20.15 (96.46%) 777.77 ± 20.16 (96.66%)"
"Third cycle","27.53 ± 0.77 (95.56%)","27.09 ± 0.71 (94.23%)","419.37 ± 9.97 (94.01%)
409.67 ± 10.19 (91.92%) 764.09 ± 18.27 (94.91)
766.29 ± 19.54 (95.24%)"
"","Bench top stability; recovery (ng) at room temperature (25 °C)","",""
"0 h","28.82 ± 1.01","28.79 ± 0.89","446.93 ± 10.39
446.27 ± 9.98
803.17 ± 19.84
801.98 ± 18.09"
"24 h","28.17 ± 0.64 (97.74%)","28.67 ± 0.79 (99.58%)","432.64 ± 9.32 (96.80%)
438.10 ± 10.19 (98.17%) 788.09 ± 18.22 (98.12%) 789.24 ± 18.97 (98.41%)"
"","Post processing stability; recovery (ng) after storage in auto sampler (4 °C)","",""
"0 h","28.76 ± 0.89","28.80 ± 0.71","446.09 ± 11.31
445.28 ± 10.24
803.46 ± 20.33
803.07 ± 17.88"
"4 h","28.62 ± 0.77 (99.51%)","27.71 ± 0.66 (96.22%)","430.67 ± 10.79 (96.54%) 433.02 ± 9.64 (97.25%)
786.36 ± 19.33 (97.87%) 782.09 ± 16.33 (97.39%)"
"Values (Mean ± SD) are derived from six replicates. Figures in parenthesis represent analyte concentration (%) relative to time zero","","",""
"","Theoretical contents; LQC: 29.0 ng  mL−1; MQC: 450.0 ng  mL−1; and HQC: 810.0 ng  mL−1","",""
